bank,txn_id,timestamp,sender_account,sender_name,receiver_account,receiver_name,amount,channel
SBI,SB000030,2025-09-03 09:37:00,1040449972787558,Parth Shah,1086753396360576,Rahul Chandra,1713,NEFT
SBI,SB000031,2025-09-03 12:09:00,1051718702621745,Manisha Iyer,1096158657809134,Sanjay Rao,3725,RTGS
SBI,SB000032,2025-09-03 12:35:00,1072400504556238,Neeraj Roy,1069222196937923,Mohit Khanna,22351,NEFT
SBI,SB000033,2025-09-03 14:35:00,1048217594647436,Priya Singh,1071369594406409,Sonia Deshmukh,100025,RTGS
SBI,SB000034,2025-09-03 15:34:00,1095339421047095,Mohit Khanna,1021456232858842,Tanvi Agarwal,818957,RTGS
SBI,SB000035,2025-09-03 17:01:00,1017123685160481,Manisha Iyer,1075496513709859,Vikram Patel,15713,UPI
SBI,SB000036,2025-09-03 18:19:00,1061200471138267,Sahil Sinha,1058692617964053,Aarti Bhat,51046,UPI
SBI,SB000037,2025-09-03 19:54:00,1085064317139005,Shreya Bose,1032931839335290,Rahul Chandra,1332914,NEFT
SBI,SB000038,2025-09-03 20:39:00,1010205395024026,Naveen Pillai,1081177589178390,Sneha Joshi,1520,NEFT
SBI,SB000039,2025-09-03 22:42:00,1066177115921249,Rakesh Menon,1098569847896118,Geeta Reddy,7987,IMPS
SBI,SB000040,2025-09-04 00:39:00,1066156545271111,Priya Singh,1061528098851656,Aditya Desai,12022,NEFT
SBI,SB000041,2025-09-04 02:49:00,1032731585149368,Rahul Chandra,1099809402445502,Mitali Banerjee,2780,NEFT
SBI,SB000042,2025-09-04 05:32:00,1001836675254599,Shreya Bose,1010229014767976,Rakesh Menon,54837,NEFT
SBI,SB000043,2025-09-04 06:01:00,1049784036900343,Yash Chauhan,1024451076226838,Nitin Kumar,24815,NEFT
SBI,SB000044,2025-09-04 06:06:00,1071596966416052,Vikas Yadav,1097516136968164,Manisha Iyer,6009,NEFT
SBI,SB000045,2025-09-04 08:49:00,1018835523124329,Vikram Patel,1021277997995527,Tanvi Agarwal,10422,RTGS
SBI,SB000046,2025-09-04 11:21:00,1005814770054119,Rahul Chandra,1098679807935978,Priya Singh,11753,UPI
SBI,SB000047,2025-09-04 11:43:00,1082037788925546,Vikas Yadav,1065905151864492,Sanjay Rao,5134,UPI
SBI,SB000048,2025-09-04 13:03:00,1062914865281685,Komal Ghosh,1005423573322141,Ritu Kapoor,163028,NEFT
SBI,SB000049,2025-09-04 14:30:00,1092962229270653,Aditya Desai,1079473834735977,Parth Shah,14218,UPI
SBI,SB000050,2025-09-04 15:22:00,1092407581814124,Aarti Bhat,1078261375060685,Parth Shah,986249,NEFT
SBI,SB000051,2025-09-04 16:44:00,1015220472779010,Arjun Nair,1043289861434103,Ankit Saxena,4132,RTGS
SBI,SB000052,2025-09-04 18:52:00,1098089324609539,Rohit Gupta,1062185188888067,Parth Shah,731944,RTGS
SBI,SB000053,2025-09-04 20:24:00,1015319520585277,Ritu Kapoor,1022170430305486,Tanvi Agarwal,21697,NEFT
SBI,SB000054,2025-09-04 21:56:00,1005415667652775,Aditya Desai,1084161692845115,Sneha Joshi,24016,IMPS
SBI,SB000055,2025-09-05 00:53:00,1075705964016582,Rahul Chandra,1002970213556909,Sahil Sinha,980169,IMPS
SBI,SB000056,2025-09-05 01:13:00,1092856543102786,Deepak Kulkarni,1081447394731217,Sahil Sinha,870225,IMPS
SBI,SB000057,2025-09-05 01:30:00,1088442258313237,Naveen Pillai,1005895782911467,Arjun Nair,175707,NEFT
SBI,SB000058,2025-09-05 02:52:00,1017785289226801,Shreya Bose,1082422535841438,Isha Kapoor,20633,IMPS
SBI,SB000059,2025-09-05 05:01:00,1029922995900109,Neeraj Roy,1043969078447364,Vikram Patel,5679,IMPS
SBI,SB000060,2025-09-05 07:05:00,1073592555625881,Aarti Bhat,1053714732104696,Sunita Nair,176438,RTGS
SBI,SB000061,2025-09-05 07:54:00,1027877470168733,Mohit Khanna,1095004797480162,Meera Mohan,120929,NEFT
SBI,SB000062,2025-09-05 08:08:00,1098358416878499,Rohit Gupta,1012165585239868,Isha Kapoor,149190,IMPS
SBI,SB000063,2025-09-05 08:47:00,1098259526949588,Tanvi Agarwal,1087947055169409,Mohit Khanna,1413149,IMPS
SBI,SB000064,2025-09-05 09:01:00,1097289623091307,Kajal Thomas,1056263689702838,Tanvi Agarwal,10781,UPI
SBI,SB000065,2025-09-05 10:59:00,1085854973348434,Nitin Kumar,1043757584419866,Rahul Chandra,9925,UPI
SBI,SB000066,2025-09-05 11:20:00,1057473384842199,Yash Chauhan,1033083301657120,Sunita Nair,16087,IMPS
SBI,SB000067,2025-09-05 12:12:00,1045401938026206,Pranav Mitra,1072400499154788,Isha Kapoor,147689,NEFT
SBI,SB000068,2025-09-05 12:41:00,1052742054932966,Sahil Sinha,1085161227530463,Shreya Bose,833227,IMPS
SBI,SB000069,2025-09-05 15:08:00,1004530174268414,Rakesh Menon,1059332727956878,Aarti Bhat,20023,RTGS
SBI,SB000070,2025-09-05 15:29:00,1087851910883982,Komal Ghosh,1025871397187072,Arjun Nair,2391,IMPS
SBI,SB000071,2025-09-05 18:22:00,1040640391065180,Ritu Kapoor,1017046226567661,Isha Kapoor,11895,NEFT
SBI,SB000072,2025-09-05 20:40:00,1068230047868633,Sonia Deshmukh,1075243106903311,Rohit Gupta,22520,RTGS
SBI,SB000073,2025-09-05 20:53:00,1030673830284395,Deepak Kulkarni,1099534283644089,Geeta Reddy,2036,UPI
SBI,SB000074,2025-09-05 23:38:00,1068566246287334,Sanjay Rao,1027086688263435,Sahil Sinha,49239,IMPS
SBI,SB000075,2025-09-06 00:27:00,1004699013983735,Parth Shah,1040331739363854,Neeraj Roy,12272,NEFT
SBI,SB000076,2025-09-06 02:00:00,1087717535560932,Pranav Mitra,1004899642353693,Yash Chauhan,22941,NEFT
SBI,SB000077,2025-09-06 04:06:00,1077252287280801,Ankit Saxena,1000623120387509,Tanvi Agarwal,1015,NEFT
SBI,SB000078,2025-09-06 06:28:00,1060084840862118,Aarti Bhat,1023398454615679,Manisha Iyer,3141,IMPS
SBI,SB000079,2025-09-06 09:15:00,1001666870021765,Rohit Gupta,1091803397401489,Deepak Kulkarni,859523,NEFT
SBI,SB000080,2025-09-06 10:09:00,1092614293968562,Neha Verma,1018501631599965,Shreya Bose,143110,IMPS
SBI,SB000081,2025-09-06 11:41:00,1086629619431142,Sanjay Rao,1062655110475412,Deepak Kulkarni,18751,IMPS
SBI,SB000082,2025-09-06 13:26:00,1010158199560466,Vikram Patel,1018398262244472,Sunita Nair,14298,NEFT
SBI,SB000083,2025-09-06 13:46:00,1054379937124065,Deepak Kulkarni,1096575692459375,Rina Dutta,811212,RTGS
SBI,SB000084,2025-09-06 16:29:00,1079356465193982,Geeta Reddy,1080737416724342,Parth Shah,20093,IMPS
SBI,SB000085,2025-09-06 18:12:00,1088680589113529,Mitali Banerjee,1009656101438889,Manisha Iyer,13316,IMPS
SBI,SB000086,2025-09-06 21:06:00,1098250714611254,Karan Jain,1057387571775140,Neha Verma,194862,NEFT
SBI,SB000087,2025-09-06 21:49:00,1038282586736226,Anjali Mehta,1060937966033419,Ritu Kapoor,11181,NEFT
SBI,SB000088,2025-09-06 22:19:00,1047859696915579,Komal Ghosh,1024991251341252,Parth Shah,5017,IMPS
SBI,SB000089,2025-09-07 00:08:00,1027828274225790,Sunita Nair,1050723688767677,Sanjay Rao,7726,NEFT
SBI,SB000090,2025-09-07 01:19:00,1038427978819148,Sanjay Rao,1058078361340745,Sahil Sinha,55773,RTGS
SBI,SB000091,2025-09-07 02:20:00,1039596292330958,Shreya Bose,1049825449481260,Isha Kapoor,59785,NEFT
SBI,SB000092,2025-09-07 03:43:00,1036729466711684,Rakesh Menon,1057759017518636,Pranav Mitra,9792,NEFT
SBI,SB000093,2025-09-07 06:11:00,1029750017012770,Sneha Joshi,1063242415415206,Manisha Iyer,3488,RTGS
SBI,SB000094,2025-09-07 06:12:00,1037129387005162,Vikram Patel,1071361115542622,Naveen Pillai,20498,IMPS
SBI,SB000095,2025-09-07 08:05:00,1053269731121965,Rakesh Menon,1065234138999404,Naveen Pillai,6681,RTGS
SBI,SB000096,2025-09-07 09:21:00,1003761379180552,Rohit Gupta,1069658271091043,Priya Singh,1034615,IMPS
SBI,SB000097,2025-09-07 12:02:00,1086661889241418,Karan Jain,1032856914630316,Neeraj Roy,2303,NEFT
SBI,SB000098,2025-09-07 14:51:00,1021020275884252,Meera Mohan,1041056481491778,Priya Singh,19075,NEFT
SBI,SB000099,2025-09-07 15:32:00,1041913800030756,Karan Jain,1022086353654195,Komal Ghosh,2225,NEFT
SBI,SB000100,2025-09-07 17:45:00,1006174451870534,Neha Verma,1094937597383206,Manisha Iyer,21338,RTGS
SBI,SB000101,2025-09-07 17:48:00,1050641383670241,Mitali Banerjee,1003865719182619,Priya Singh,4783,NEFT
SBI,SB000102,2025-09-07 18:55:00,1056557431329121,Sanjay Rao,1027756185374741,Sunita Nair,104749,RTGS
SBI,SB000103,2025-09-07 21:54:00,1090352135680442,Isha Kapoor,1006788317121003,Pooja Reddy,122581,IMPS
SBI,SB000104,2025-09-08 00:40:00,1019941013721510,Shreya Bose,1070296670662532,Sahil Sinha,34084,IMPS
SBI,SB000105,2025-09-08 03:18:00,1034768701462638,Deepak Kulkarni,1038065787598564,Neha Verma,7676,NEFT
SBI,SB000106,2025-09-08 04:30:00,1007859321334803,Rahul Chandra,1096522395590599,Mitali Banerjee,1232275,IMPS
SBI,SB000107,2025-09-08 05:15:00,1070103930870593,Rina Dutta,1025250029218515,Harshal Dixit,10388,NEFT
SBI,SB000108,2025-09-08 05:56:00,1067528953926442,Rahul Chandra,1020969029593917,Vikas Yadav,87390,NEFT
SBI,SB000109,2025-09-08 07:18:00,1021570433154100,Sunita Nair,1067626765861793,Sahil Sinha,1594,NEFT
SBI,SB000110,2025-09-08 08:40:00,1041152621815997,Mohit Khanna,1006296201533688,Aditya Desai,3642,NEFT
SBI,SB000111,2025-09-08 11:07:00,1087205061497310,Deepak Kulkarni,1032417146774186,Meera Mohan,121837,NEFT
SBI,SB000112,2025-09-08 11:19:00,1047743490211586,Rina Dutta,1093806868793741,Rohit Gupta,17435,RTGS
SBI,SB000113,2025-09-08 14:13:00,1092172233206163,Aman Sharma,1029451168685487,Ankit Saxena,14249,NEFT
SBI,SB000114,2025-09-08 14:52:00,1029991191485646,Vikas Yadav,1079970246299606,Aarti Bhat,16071,UPI
SBI,SB000115,2025-09-08 16:28:00,1005444713247546,Komal Ghosh,1091373678508214,Rina Dutta,17679,RTGS
SBI,SB000116,2025-09-08 16:36:00,1023303070534578,Sunita Nair,1061035797279855,Mohit Khanna,48696,NEFT
SBI,SB000117,2025-09-08 18:15:00,1002933334680072,Neeraj Roy,1029034944665743,Sneha Joshi,20934,IMPS
SBI,SB000118,2025-09-08 18:42:00,1008589944171545,Aditya Desai,1044432830965207,Mohit Khanna,1048506,IMPS
SBI,SB000119,2025-09-08 18:52:00,1099353875842824,Meera Mohan,1017248251353465,Mohit Khanna,15696,RTGS
SBI,SB000120,2025-09-08 20:53:00,1009991738168460,Kajal Thomas,1022356972521752,Priya Singh,9462,NEFT
SBI,SB000121,2025-09-08 21:37:00,1092712966667600,Anjali Mehta,1083505830033542,Parth Shah,10530,NEFT
SBI,SB000122,2025-09-08 21:49:00,1044789856257532,Mohit Khanna,1060332309821506,Ritu Kapoor,19961,UPI
SBI,SB000123,2025-09-09 00:39:00,1010016761847230,Karan Jain,1046184992618914,Anjali Mehta,20455,NEFT
SBI,SB000124,2025-09-09 01:47:00,1083564208737530,Mohit Khanna,1001197218114374,Neeraj Roy,6224,RTGS
SBI,SB000125,2025-09-09 03:02:00,1055611002255794,Isha Kapoor,1015521667467621,Priya Singh,534277,NEFT
SBI,SB000126,2025-09-09 05:34:00,1079729659027716,Anjali Mehta,1070145089935889,Geeta Reddy,8645,IMPS
SBI,SB000127,2025-09-09 08:24:00,1062890028772175,Sahil Sinha,1035408386631779,Sanjay Rao,142197,NEFT
SBI,SB000128,2025-09-09 10:32:00,1001660880199488,Karan Jain,1037550375899757,Anjali Mehta,83130,NEFT
SBI,SB000129,2025-09-09 12:03:00,1048851027261493,Harshal Dixit,1031637351609177,Komal Ghosh,16845,NEFT
SBI,SB000130,2025-09-09 12:16:00,1086978292216995,Komal Ghosh,1086693465472269,Sneha Joshi,168605,RTGS
SBI,SB000131,2025-09-09 14:38:00,1033394522885158,Priya Singh,1079968460810620,Pooja Reddy,5773,UPI
SBI,SB000132,2025-09-09 17:33:00,1042043805719838,Ankit Saxena,1063840666580043,Sahil Sinha,191144,RTGS
SBI,SB000133,2025-09-09 20:19:00,1059893347212281,Rohit Gupta,1060648422940572,Rahul Chandra,1451749,NEFT
SBI,SB000134,2025-09-09 23:00:00,1094798515832818,Ankit Saxena,1026886153355543,Naveen Pillai,18893,RTGS
SBI,SB000135,2025-09-10 01:47:00,1001573993056164,Sanjay Rao,1084085887704358,Anjali Mehta,18128,IMPS
SBI,SB000136,2025-09-10 04:28:00,1013361386120750,Geeta Reddy,1011024819346676,Kajal Thomas,22562,NEFT
SBI,SB000137,2025-09-10 04:30:00,1091901581449147,Aman Sharma,1066072832684245,Yash Chauhan,62061,NEFT
SBI,SB000138,2025-09-10 04:32:00,1099688143536822,Vikram Patel,1023943129087814,Mohit Khanna,24276,IMPS
SBI,SB000139,2025-09-10 05:57:00,1052314913577594,Meera Mohan,1092995562053364,Isha Kapoor,11364,RTGS
SBI,SB000140,2025-09-10 07:56:00,1075478129142834,Ritu Kapoor,1011080996930848,Tanvi Agarwal,5370,IMPS
SBI,SB000141,2025-09-10 08:54:00,1094278816580392,Vikram Patel,1082722992750373,Mohit Khanna,1902,IMPS
SBI,SB000142,2025-09-10 11:07:00,1056770051844989,Pranav Mitra,1026659184638655,Tanvi Agarwal,26730,IMPS
SBI,SB000143,2025-09-10 11:43:00,1072318432225913,Mitali Banerjee,1065177739260302,Harshal Dixit,21128,IMPS
SBI,SB000144,2025-09-10 14:10:00,1020242869904137,Vikas Yadav,1097723692929842,Neeraj Roy,2755,NEFT
SBI,SB000145,2025-09-10 15:49:00,1021038862912799,Rohit Gupta,1008811729806865,Naveen Pillai,16298,RTGS
SBI,SB000146,2025-09-10 17:27:00,1059916247314986,Anjali Mehta,1043009818063565,Rahul Chandra,19681,NEFT
SBI,SB000147,2025-09-10 19:45:00,1069594636887258,Komal Ghosh,1087449562137213,Rina Dutta,169331,IMPS
SBI,SB000148,2025-09-10 22:41:00,1002601279611435,Pooja Reddy,1019066984902770,Naveen Pillai,1601,RTGS
SBI,SB000149,2025-09-11 00:52:00,1083920530214656,Manisha Iyer,1069380118489554,Sonia Deshmukh,1153699,UPI
SBI,SB000150,2025-09-11 03:20:00,1004268181845184,Karan Jain,1089476973577907,Mohit Khanna,21263,RTGS
SBI,SB000151,2025-09-11 04:17:00,1035658804341651,Mohit Khanna,1082755394237333,Rakesh Menon,8682,RTGS
SBI,SB000152,2025-09-11 05:49:00,1021117908075957,Ritu Kapoor,1094728463920867,Rohit Gupta,13401,RTGS
SBI,SB000153,2025-09-11 06:34:00,1071875003691559,Arjun Nair,1042843479552763,Meera Mohan,13626,NEFT
SBI,SB000154,2025-09-11 07:21:00,1092931438663227,Rina Dutta,1002672885744890,Anjali Mehta,2467,NEFT
SBI,SB000155,2025-09-11 08:27:00,1071754558845061,Parth Shah,1059399824558771,Ankit Saxena,21199,UPI
SBI,SB000156,2025-09-11 09:10:00,1056996112535544,Mohit Khanna,1096475987622023,Sanjay Rao,13510,NEFT
SBI,SB000157,2025-09-11 09:27:00,1078006811492164,Ritu Kapoor,1033472282005577,Shreya Bose,4927,UPI
SBI,SB000158,2025-09-11 12:26:00,1082997968845783,Tanvi Agarwal,1017456424008254,Ritu Kapoor,16619,UPI
SBI,SB000159,2025-09-11 14:29:00,1040649308536866,Shreya Bose,1032663416389448,Arjun Nair,2743,NEFT
SBI,SB000160,2025-09-11 15:44:00,1017974973502080,Arjun Nair,1021442703120735,Sneha Joshi,155652,UPI
SBI,SB000161,2025-09-11 17:43:00,1005120461872346,Sneha Joshi,1001367303718376,Kajal Thomas,24362,NEFT
SBI,SB000162,2025-09-11 20:04:00,1081474350313650,Aarti Bhat,1024916300979251,Sunita Nair,22977,IMPS
SBI,SB000163,2025-09-11 22:45:00,1000528127358573,Deepak Kulkarni,1006524077848739,Ritu Kapoor,24499,IMPS
SBI,SB000164,2025-09-12 01:19:00,1082182744857086,Rahul Chandra,1020959351863878,Ankit Saxena,13928,IMPS
SBI,SB000165,2025-09-12 01:48:00,1018102203173109,Sanjay Rao,1067899405391037,Neeraj Roy,40913,IMPS
SBI,SB000166,2025-09-12 03:35:00,1050948014138113,Neeraj Roy,1086338392886195,Geeta Reddy,68729,RTGS
SBI,SB000167,2025-09-12 05:56:00,1068528975585566,Rohit Gupta,1059398368457760,Aditya Desai,17461,NEFT
SBI,SB000168,2025-09-12 07:14:00,1004335048889921,Rina Dutta,1007522459334419,Mitali Banerjee,361904,RTGS
SBI,SB000169,2025-09-12 09:18:00,1027919409610556,Kajal Thomas,1061390604805892,Komal Ghosh,5519,NEFT
SBI,SB000170,2025-09-12 10:59:00,1079981364622517,Pranav Mitra,1090864168622783,Rina Dutta,6925,IMPS
SBI,SB000171,2025-09-12 13:14:00,1033146591166553,Pooja Reddy,1055904259792703,Meera Mohan,24371,RTGS
SBI,SB000172,2025-09-12 13:43:00,1003924051477053,Rohit Gupta,1083388487920698,Mohit Khanna,9806,NEFT
SBI,SB000173,2025-09-12 16:42:00,1094070164510463,Rohit Gupta,1068157981238780,Aarti Bhat,839480,NEFT
SBI,SB000174,2025-09-12 18:23:00,1020555438404608,Rahul Chandra,1043256216893639,Geeta Reddy,1469551,NEFT
SBI,SB000175,2025-09-12 20:42:00,1023298324826292,Shreya Bose,1051881252056647,Rahul Chandra,52990,NEFT
SBI,SB000176,2025-09-12 20:49:00,1099499939330517,Arjun Nair,1028975267722330,Aman Sharma,1066217,NEFT
SBI,SB000177,2025-09-12 23:41:00,1033127975736609,Aarti Bhat,1065699988081770,Naveen Pillai,24590,NEFT
SBI,SB000178,2025-09-13 01:21:00,1080347644726490,Sahil Sinha,1082771812982665,Neha Verma,19843,RTGS
SBI,SB000179,2025-09-13 02:13:00,1071452111751868,Arjun Nair,1092686025922220,Sneha Joshi,15122,NEFT
SBI,SB000180,2025-09-13 03:00:00,1012309407778097,Ankit Saxena,1033977671990384,Yash Chauhan,79431,NEFT
HDFC,HD000001,2025-09-01 08:38:00,2005020994510162,Meera Mohan,2024999827950145,Parth Shah,137021,RTGS
HDFC,HD000002,2025-09-01 08:55:00,2047214586833901,Isha Kapoor,2098179469548995,Ankit Saxena,17529,RTGS
HDFC,HD000003,2025-09-01 11:03:00,2072934301071396,Yash Chauhan,2060558303441448,Kajal Thomas,54842,IMPS
HDFC,HD000004,2025-09-01 12:31:00,2069902355770272,Mitali Banerjee,2078576084958803,Vikas Yadav,117693,NEFT
HDFC,HD000005,2025-09-01 13:10:00,2040568299629145,Meera Mohan,2004617357438421,Rohit Gupta,49276,IMPS
HDFC,HD000006,2025-09-01 13:17:00,2078235784521823,Naveen Pillai,2007681040915701,Sneha Joshi,10728,IMPS
HDFC,HD000007,2025-09-01 14:11:00,2053344857142241,Aarti Bhat,2009881385854249,Sunita Nair,20595,RTGS
HDFC,HD000008,2025-09-01 16:30:00,2070207016016629,Anjali Mehta,2097954538179217,Neeraj Roy,21616,RTGS
HDFC,HD000009,2025-09-01 18:30:00,2073329456255770,Rina Dutta,2017157724599281,Anjali Mehta,21781,NEFT
HDFC,HD000010,2025-09-01 19:48:00,2087696393827615,Sonia Deshmukh,2039669583219719,Neeraj Roy,3699,RTGS
HDFC,HD000011,2025-09-01 20:34:00,2046191965701329,Mitali Banerjee,2002278469973354,Sneha Joshi,1111689,RTGS
HDFC,HD000012,2025-09-01 22:03:00,2019098624058008,Rakesh Menon,2051403696566668,Deepak Kulkarni,6667,IMPS
HDFC,HD000013,2025-09-01 23:36:00,2062422010276212,Deepak Kulkarni,2067969278687653,Geeta Reddy,19437,IMPS
HDFC,HD000014,2025-09-02 00:37:00,2084689500975197,Harshal Dixit,2012847818913718,Sneha Joshi,11757,IMPS
HDFC,HD000015,2025-09-02 00:40:00,2077879565442094,Isha Kapoor,2094079290490471,Komal Ghosh,9604,NEFT
HDFC,HD000016,2025-09-02 03:18:00,2044401929275243,Sunita Nair,2072805129276637,Rakesh Menon,11807,NEFT
HDFC,HD000017,2025-09-02 04:26:00,2010276747836674,Ankit Saxena,2028604765801856,Shreya Bose,9251,RTGS
HDFC,HD000018,2025-09-02 05:32:00,2096739385258001,Sanjay Rao,2006181753443009,Priya Singh,654715,UPI
HDFC,HD000019,2025-09-02 08:16:00,2011192692124471,Mohit Khanna,2074654214066504,Deepak Kulkarni,16612,UPI
HDFC,HD000020,2025-09-02 09:08:00,2096271286391741,Vikas Yadav,2001194707200642,Rina Dutta,17388,RTGS
HDFC,HD000021,2025-09-02 11:14:00,2076618306719855,Parth Shah,2046015851743280,Pooja Reddy,13282,RTGS
HDFC,HD000022,2025-09-02 13:56:00,2057173203093761,Naveen Pillai,2084787005050613,Neeraj Roy,1325251,NEFT
HDFC,HD000023,2025-09-02 16:25:00,2031027079032020,Pooja Reddy,2041792911179931,Geeta Reddy,24680,IMPS
HDFC,HD000024,2025-09-02 17:49:00,2019825309251142,Neha Verma,2062582739021962,Pranav Mitra,736,NEFT
HDFC,HD000025,2025-09-02 18:12:00,2094672324876329,Naveen Pillai,2009279145608331,Anjali Mehta,18185,IMPS
HDFC,HD000026,2025-09-02 20:11:00,2034031277220054,Komal Ghosh,2036459701082207,Karan Jain,8210,RTGS
HDFC,HD000027,2025-09-02 22:43:00,2095635315313636,Isha Kapoor,2031797062397265,Neeraj Roy,190681,IMPS
HDFC,HD000028,2025-09-02 23:53:00,2035209042177625,Harshal Dixit,2034929298316873,Tanvi Agarwal,98183,NEFT
HDFC,HD000029,2025-09-03 01:43:00,2033569392906007,Rakesh Menon,2080686717731806,Isha Kapoor,8333,IMPS
HDFC,HD000030,2025-09-03 02:07:00,2007427990772625,Sanjay Rao,2070165804649893,Ankit Saxena,39369,IMPS
HDFC,HD000031,2025-09-03 05:00:00,2050165790552818,Geeta Reddy,2032538179335548,Shreya Bose,12716,NEFT
HDFC,HD000032,2025-09-03 07:05:00,2088178847951371,Neha Verma,2016241124127238,Aditya Desai,22860,IMPS
HDFC,HD000033,2025-09-03 07:39:00,2075670431038569,Manisha Iyer,2055798877492424,Tanvi Agarwal,9941,RTGS
HDFC,HD000034,2025-09-03 07:52:00,2025472928422223,Rahul Chandra,2010592745238055,Meera Mohan,5827,IMPS
HDFC,HD000035,2025-09-03 08:24:00,2006727520885474,Ankit Saxena,2092975170281406,Manisha Iyer,3530,NEFT
HDFC,HD000036,2025-09-03 11:00:00,2039834301871863,Aditya Desai,2075998056265650,Nitin Kumar,15100,RTGS
HDFC,HD000037,2025-09-03 11:23:00,2037674266299123,Neeraj Roy,2047851961064628,Mitali Banerjee,60895,NEFT
HDFC,HD000038,2025-09-03 13:01:00,2048704947873002,Sonia Deshmukh,2044714627301471,Meera Mohan,19032,IMPS
HDFC,HD000039,2025-09-03 14:08:00,2071589042902572,Deepak Kulkarni,2052045650448183,Anjali Mehta,5976,IMPS
HDFC,HD000040,2025-09-03 15:29:00,2044518952028457,Karan Jain,2065213283389888,Arjun Nair,3003,NEFT
HDFC,HD000041,2025-09-03 16:03:00,2007545279852401,Geeta Reddy,2032234232161107,Rohit Gupta,1574,RTGS
HDFC,HD000042,2025-09-03 18:15:00,2090714014011939,Komal Ghosh,2032501249552893,Mitali Banerjee,19444,RTGS
HDFC,HD000043,2025-09-03 20:31:00,2033428013875927,Naveen Pillai,2012566383615171,Isha Kapoor,12337,RTGS
HDFC,HD000044,2025-09-03 22:54:00,2001571647947386,Karan Jain,2046317520716781,Rahul Chandra,23274,IMPS
HDFC,HD000045,2025-09-03 23:21:00,2021535396136749,Mohit Khanna,2094657967842711,Pranav Mitra,21090,UPI
